idade,genero,pcd,ufOndeMora,cargoAtual,nivel,tempoDeExperienciaemDados,tempodeExperienciaEmTi
26,Masculino,Não,CE,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,MG,,,de 3 a 4 anos,Mais de 10 anos
21,Masculino,Não,SP,Analista de BI/BI Analyst,Júnior,Não tenho experiência na área de dados,de 1 a 2 anos
27,Masculino,Não,RJ,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
22,Masculino,Não,BA,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Menos de 1 ano
20,Masculino,Não,GO,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Júnior,de 1 a 2 anos,de 1 a 2 anos
28,Masculino,Não,ES,Analista de BI/BI Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,DF,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Menos de 1 ano
30,Masculino,Não,MG,Cientista de Dados/Data Scientist,Pleno,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,PR,Analista de BI/BI Analyst,Pleno,de 3 a 4 anos,de 1 a 2 anos
46,Masculino,Não,DF,Analista de Suporte/Analista Técnico,Sênior,Menos de 1 ano,Mais de 10 anos
29,Masculino,Sim,MG,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Menos de 1 ano
28,Masculino,Não,SP,Analista de BI/BI Analyst,Sênior,de 3 a 4 anos,de 1 a 2 anos
42,Masculino,Não,PA,Professor/Pesquisador,Sênior,de 7 a 10 anos,de 3 a 4 anos
39,Masculino,Não,SC,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,Mais de 10 anos
29,Masculino,Não,RS,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43,Masculino,Não,MG,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,Mais de 10 anos
30,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 10 anos,de 5 a 6 anos
33,Masculino,Não,SP,Outra Opção,Sênior,de 5 a 6 anos,Menos de 1 ano
34,Masculino,Não,RJ,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,Mais de 10 anos,de 1 a 2 anos
32,Feminino,Não,SC,Analytics Engineer,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39,Feminino,Não,SC,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
53,Masculino,Não,RJ,Outra Opção,Sênior,Mais de 10 anos,Mais de 10 anos
29,Masculino,Não,PR,Cientista de Dados/Data Scientist,Júnior,Menos de 1 ano,de 1 a 2 anos
50,Masculino,Não,PR,Professor/Pesquisador,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38,Masculino,Não,RJ,,,de 5 a 6 anos,de 3 a 4 anos
32,Masculino,Não,SP,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
40,Masculino,Sim,,,,Mais de 10 anos,de 5 a 6 anos
58,Masculino,Não,PR,Analista de BI/BI Analyst,Sênior,de 3 a 4 anos,Mais de 10 anos
33,Masculino,Não,CE,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,de 5 a 6 anos
34,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,de 5 a 6 anos
23,Masculino,Não,RJ,Cientista de Dados/Data Scientist,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,PI,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 3 a 4 anos
21,Masculino,Não,RS,Analista de BI/BI Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,Analista de Negócios/Business Analyst,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SC,,,de 1 a 2 anos,de 1 a 2 anos
26,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,Menos de 1 ano,de 5 a 6 anos
36,Masculino,Não,SC,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,Não tenho experiência na área de dados,Mais de 10 anos
31,Masculino,Não,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de 1 a 2 anos,de 5 a 6 anos
38,Masculino,Não,PR,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 7 a 10 anos
25,Masculino,Não,RO,Outra Opção,Júnior,Não tenho experiência na área de dados,de 7 a 10 anos
31,Feminino,Não,PB,Outra Opção,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
22,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,de 1 a 2 anos
53,Masculino,Não,,,,de 5 a 6 anos,Mais de 10 anos
40,Masculino,Não,PE,,,de 7 a 10 anos,de 7 a 10 anos
27,Masculino,Não,AP,Cientista de Dados/Data Scientist,Pleno,de 5 a 6 anos,Menos de 1 ano
30,Masculino,Não,MG,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,ES,Analista de BI/BI Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
51,Masculino,Não,SP,Outra Opção,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Feminino,Não,SP,,,Mais de 10 anos,Mais de 10 anos
41,Masculino,Sim,AM,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,de 1 a 2 anos
32,Feminino,Não,MG,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Feminino,Não,MG,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36,Masculino,Não,PR,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Masculino,Não,RS,Analista de Dados/Data Analyst,Pleno,de 5 a 6 anos,de 7 a 10 anos
28,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,de 5 a 6 anos
32,Feminino,Não,DF,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,de 1 a 2 anos
33,Feminino,Não,RJ,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41,Masculino,Não,SP,,,Mais de 10 anos,de 7 a 10 anos
28,Masculino,Não,RJ,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 1 a 2 anos,de 3 a 4 anos
25,Masculino,Não,PE,Analista de Negócios/Business Analyst,Pleno,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,SP,Analista de Negócios/Business Analyst,Pleno,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,BA,,,de 7 a 10 anos,de 1 a 2 anos
47,Masculino,Não,SP,,,Mais de 10 anos,de 7 a 10 anos
34,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Mais de 10 anos
28,Feminino,Não,RS,Analista de Negócios/Business Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
22,Feminino,Não,SP,Cientista de Dados/Data Scientist,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43,Masculino,Não,ES,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,Mais de 10 anos,Mais de 10 anos
37,Masculino,Não,ES,,,Mais de 10 anos,de 3 a 4 anos
41,Masculino,Não,PA,,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,de 3 a 4 anos
29,Masculino,Não,PR,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,SP,Analytics Engineer,Sênior,de 3 a 4 anos,de 1 a 2 anos
26,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,de 1 a 2 anos
31,Feminino,Não,MG,Cientista de Dados/Data Scientist,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Feminino,Não,SC,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Menos de 1 ano
33,Masculino,Não,SC,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,de 3 a 4 anos
31,Masculino,Não,GO,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
21,Masculino,Não,PB,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de 1 a 2 anos,de 1 a 2 anos
33,Masculino,Não,RJ,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
45,Feminino,Não,PR,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,de 5 a 6 anos
30,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
37,Feminino,Não,SP,,,de 3 a 4 anos,de 1 a 2 anos
21,Masculino,Não,SP,Analista de Negócios/Business Analyst,Júnior,Menos de 1 ano,de 1 a 2 anos
31,Masculino,Não,MG,Cientista de Dados/Data Scientist,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
37,Masculino,Não,,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,de 3 a 4 anos
25,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39,Feminino,Não,SE,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,de 3 a 4 anos
36,Masculino,Não,SP,Outras Engenharias (não inclui dev),Pleno,de 5 a 6 anos,Menos de 1 ano
44,Masculino,Não,DF,Outras Engenharias (não inclui dev),Pleno,de 1 a 2 anos,Mais de 10 anos
35,Feminino,Sim,CE,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43,Masculino,Não,SP,Analytics Engineer,Sênior,de 3 a 4 anos,Mais de 10 anos
28,Feminino,Não,SP,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,MG,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Pleno,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,RJ,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,de 3 a 4 anos
32,Masculino,Não,CE,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,de 3 a 4 anos
25,Feminino,Não,SC,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,,,de 7 a 10 anos,de 3 a 4 anos
34,Feminino,Não,MG,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Feminino,Sim,PR,Analista de Negócios/Business Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,PR,Analista de Negócios/Business Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,SP,Cientista de Dados/Data Scientist,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,PR,Analista de Negócios/Business Analyst,Júnior,de 3 a 4 anos,de 1 a 2 anos
26,Masculino,Não,RS,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,MG,Analista de Negócios/Business Analyst,Pleno,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,ES,,,Menos de 1 ano,de 3 a 4 anos
36,Masculino,Não,SP,,,Mais de 10 anos,de 1 a 2 anos
36,Masculino,Não,BA,Cientista de Dados/Data Scientist,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
52,Masculino,Não,RJ,Cientista de Dados/Data Scientist,Sênior,Mais de 10 anos,Mais de 10 anos
22,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,MG,Cientista de Dados/Data Scientist,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,,Analytics Engineer,Pleno,de 3 a 4 anos,de 1 a 2 anos
56,Masculino,Não,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de 1 a 2 anos,Mais de 10 anos
25,Feminino,Não,BA,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,SP,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41,Masculino,Não,RJ,,,de 7 a 10 anos,Mais de 10 anos
31,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,PR,Analista de Negócios/Business Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,AM,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,PB,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,de 1 a 2 anos
28,Masculino,Não,RS,Analista de BI/BI Analyst,Sênior,de 5 a 6 anos,Menos de 1 ano
31,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 3 a 4 anos,de 3 a 4 anos
24,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
25,Masculino,Não,RO,Analista de BI/BI Analyst,Pleno,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41,Masculino,Não,SP,,,Mais de 10 anos,de 1 a 2 anos
39,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,GO,Cientista de Dados/Data Scientist,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
21,Feminino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,de 1 a 2 anos
28,Feminino,Não,RJ,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
36,Masculino,Não,SP,,,de 7 a 10 anos,de 5 a 6 anos
42,Feminino,Não,RS,,,Mais de 10 anos,de 7 a 10 anos
36,Feminino,Não,MT,Analista de BI/BI Analyst,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43,Masculino,Não,RS,Analista de BI/BI Analyst,Sênior,Mais de 10 anos,de 5 a 6 anos
28,Masculino,Sim,PA,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de 3 a 4 anos,de 3 a 4 anos
31,Feminino,Não,DF,Outra Opção,Júnior,Menos de 1 ano,Menos de 1 ano
45,Feminino,Não,MT,,,Mais de 10 anos,Menos de 1 ano
31,Feminino,Não,MG,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,RJ,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
40,Masculino,Não,SP,,,de 3 a 4 anos,Mais de 10 anos
23,Feminino,Não,GO,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
33,Feminino,Não,SP,Outra Opção,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38,Masculino,Não,SP,,,de 7 a 10 anos,Mais de 10 anos
21,Feminino,Não,DF,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
28,Masculino,Não,SP,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
30,Masculino,Não,CE,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Menos de 1 ano
56,Feminino,Não,SP,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
22,Masculino,Não,PR,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,de 1 a 2 anos
36,Masculino,Não,PR,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,de 7 a 10 anos,de 7 a 10 anos
35,Masculino,Não,PR,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Pleno,de 5 a 6 anos,Mais de 10 anos
35,Masculino,Não,PR,Cientista de Dados/Data Scientist,Sênior,de 7 a 10 anos,de 1 a 2 anos
23,Feminino,Não,BA,Estatístico,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,MG,Analista de BI/BI Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SP,Analista de Dados/Data Analyst,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Feminino,Não,SE,Cientista de Dados/Data Scientist,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
32,Masculino,Não,RJ,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,de 3 a 4 anos,de 5 a 6 anos
29,Feminino,Não,PR,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
38,Feminino,Não,MG,Cientista de Dados/Data Scientist,Sênior,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
51,Feminino,Não,RJ,,,de 5 a 6 anos,Menos de 1 ano
31,Feminino,Não,RS,Analista de BI/BI Analyst,Júnior,Menos de 1 ano,Mais de 10 anos
29,Masculino,Não,SP,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,de 3 a 4 anos
27,Masculino,Não,PR,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
26,Masculino,Não,PE,Analytics Engineer,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
39,Masculino,Não,RN,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 7 a 10 anos,de 5 a 6 anos
29,Masculino,Não,SP,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
33,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
37,Masculino,Não,PA,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Sênior,Mais de 10 anos,Mais de 10 anos
34,Feminino,Não,SP,Analista de Dados/Data Analyst,Pleno,Menos de 1 ano,de 7 a 10 anos
44,Masculino,Não,PR,,,Mais de 10 anos,Mais de 10 anos
25,Feminino,Não,RS,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SP,Outra Opção,Sênior,de 5 a 6 anos,Menos de 1 ano
36,Masculino,Não,SP,,,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,PB,Cientista de Dados/Data Scientist,Pleno,de 7 a 10 anos,de 1 a 2 anos
30,Masculino,Não,SP,,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
19,Masculino,Não,PR,Analista de Suporte/Analista Técnico,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Masculino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Masculino,Não,SC,Engenheiro de Dados/Data Engineer/Data Architect,Sênior,de 3 a 4 anos,Mais de 10 anos
30,Masculino,Não,CE,Analista de BI/BI Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano
21,Masculino,Não,RS,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,Menos de 1 ano,Menos de 1 ano
23,Masculino,Não,PB,Cientista de Dados/Data Scientist,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Sim,PR,Outras Engenharias (não inclui dev),Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SP,Analytics Engineer,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Feminino,Não,MG,,,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29,Masculino,Não,ES,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
31,Masculino,Não,SP,,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
41,Masculino,Não,SP,,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23,Feminino,Não,SC,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Menos de 1 ano
24,Feminino,Não,SP,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
24,Masculino,Não,MG,Cientista de Dados/Data Scientist,Pleno,de 1 a 2 anos,Menos de 1 ano
29,Masculino,Não,MG,Cientista de Dados/Data Scientist,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
34,Masculino,Não,RS,,,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
45,Masculino,Não,SP,Cientista de Dados/Data Scientist,Sênior,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
43,Feminino,Não,MG,,,Não tenho experiência na área de dados,de 7 a 10 anos
25,Masculino,Não,PR,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
27,Masculino,Não,PR,,,de 3 a 4 anos,de 1 a 2 anos
41,Feminino,Não,SP,Analista de BI/BI Analyst,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
35,Feminino,Não,SC,Analista de Dados/Data Analyst,Pleno,de 5 a 6 anos,Menos de 1 ano
36,Masculino,Não,SP,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Sênior,Não tenho experiência na área de dados,Mais de 10 anos
27,Masculino,Não,SC,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Menos de 1 ano
27,Feminino,Não,SP,Analytics Engineer,Pleno,de 3 a 4 anos,Menos de 1 ano
36,Masculino,Não,SP,,,de 7 a 10 anos,Menos de 1 ano
26,Masculino,Não,,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,Menos de 1 ano,Menos de 1 ano
